Algorithm,K,EbN0db,error
Glauber+NNLS,200,0.7999999999999999,0.040000000000000036
Glauber+NNLS,200,0.7999999999999999,0.025000000000000022
Glauber+NNLS,200,0.8999999999999999,0.020000000000000018
Glauber+NNLS,200,1.4,0.020000000000000018
Glauber+NNLS,200,1.0999999999999999,0.015000000000000013
Glauber+NNLS,200,0.6,0.030000000000000027
Glauber+NNLS,200,0.7,0.040000000000000036
Glauber+NNLS,200,0.7,0.03500000000000003
Glauber+NNLS,200,0.9999999999999999,0.04500000000000004
Glauber+NNLS,200,1.0999999999999999,0.030000000000000027
Glauber+NNLS,200,1.4,0.03500000000000003
Glauber+NNLS,200,0.6,0.06499999999999995
Glauber+NNLS,200,1.1999999999999997,0.025000000000000022
Glauber+NNLS,200,1.2999999999999998,0.03500000000000003
Glauber+NNLS,200,0.8999999999999999,0.03500000000000003
Glauber+NNLS,200,1.1999999999999997,0.015000000000000013
Glauber+NNLS,200,0.5,0.05500000000000005
Glauber+NNLS,200,1.4999999999999998,0.0050000000000000044
Glauber+NNLS,200,0.5,0.06999999999999995
Glauber+NNLS,200,1.2999999999999998,0.025000000000000022
Glauber+NNLS,200,0.8999999999999999,0.030000000000000027
Glauber+NNLS,200,0.9999999999999999,0.050000000000000044
Glauber+NNLS,200,0.8999999999999999,0.06000000000000005
Glauber+NNLS,200,1.1999999999999997,0.03500000000000003
Glauber+NNLS,200,0.7,0.06000000000000005
Glauber+NNLS,200,1.4999999999999998,0.015000000000000013
Glauber+NNLS,200,0.6,0.06000000000000005
Glauber+NNLS,200,0.7999999999999999,0.025000000000000022
Glauber+NNLS,200,1.4999999999999998,0.04500000000000004
Glauber+NNLS,200,0.7,0.020000000000000018
Glauber+NNLS,200,1.2999999999999998,0.010000000000000009
Glauber+NNLS,200,1.1999999999999997,0.03500000000000003
Glauber+NNLS,200,0.9999999999999999,0.04500000000000004
Glauber+NNLS,200,0.6,0.09999999999999998
Glauber+NNLS,200,1.2999999999999998,0.040000000000000036
Glauber+NNLS,200,1.0999999999999999,0.03500000000000003
Glauber+NNLS,200,1.4,0.040000000000000036
Glauber+NNLS,200,0.5,0.06499999999999995
Glauber+NNLS,200,1.0999999999999999,0.015000000000000013
Glauber+NNLS,200,0.7999999999999999,0.040000000000000036
Glauber+NNLS,200,0.7999999999999999,0.015000000000000013
Glauber+NNLS,200,0.9999999999999999,0.04500000000000004
Glauber+NNLS,200,1.2999999999999998,0.015000000000000013
Glauber+NNLS,200,0.9999999999999999,0.025000000000000022
Glauber+NNLS,200,0.5,0.050000000000000044
Glauber+NNLS,200,1.4,0.020000000000000018
Glauber+NNLS,200,0.8999999999999999,0.06499999999999995
Glauber+NNLS,200,1.0999999999999999,0.015000000000000013
Glauber+NNLS,200,0.7,0.030000000000000027
Glauber+NNLS,200,1.4999999999999998,0.015000000000000013
Glauber+NNLS,200,1.2999999999999998,0.015000000000000013
Glauber+NNLS,200,0.9999999999999999,0.020000000000000018
Glauber+NNLS,200,1.4,0.015000000000000013
Glauber+NNLS,200,1.1999999999999997,0.03500000000000003
Glauber+NNLS,200,1.4,0.025000000000000022
Glauber+NNLS,200,0.5,0.08999999999999997
Glauber+NNLS,200,0.7,0.07999999999999996
Glauber+NNLS,200,0.8999999999999999,0.025000000000000022
Glauber+NNLS,200,1.0999999999999999,0.010000000000000009
Glauber+NNLS,200,1.4999999999999998,0.020000000000000018
Glauber+NNLS,200,0.7999999999999999,0.025000000000000022
Glauber+NNLS,200,1.1999999999999997,0.010000000000000009
Glauber+NNLS,200,0.6,0.06000000000000005
Glauber+NNLS,200,1.0999999999999999,0.030000000000000027
Glauber+NNLS,200,1.4,0.030000000000000027
Glauber+NNLS,200,0.8999999999999999,0.025000000000000022
Glauber+NNLS,200,0.6,0.06000000000000005
Glauber+NNLS,200,1.1999999999999997,0.050000000000000044
Glauber+NNLS,200,0.7999999999999999,0.020000000000000018
Glauber+NNLS,200,0.5,0.03500000000000003
Glauber+NNLS,200,1.4,0.025000000000000022
Glauber+NNLS,200,1.4999999999999998,0.020000000000000018
Glauber+NNLS,200,1.0999999999999999,0.04500000000000004
Glauber+NNLS,200,1.4999999999999998,0.040000000000000036
Glauber+NNLS,200,1.2999999999999998,0.03500000000000003
Glauber+NNLS,200,0.7999999999999999,0.025000000000000022
Glauber+NNLS,200,1.2999999999999998,0.06499999999999995
Glauber+NNLS,200,0.5,0.030000000000000027
Glauber+NNLS,200,1.4999999999999998,0.0050000000000000044
Glauber+NNLS,200,0.9999999999999999,0.030000000000000027
Glauber+NNLS,200,1.1999999999999997,0.030000000000000027
Glauber+NNLS,200,0.7,0.040000000000000036
Glauber+NNLS,200,0.8999999999999999,0.025000000000000022
Glauber+NNLS,200,1.1999999999999997,0.030000000000000027
Glauber+NNLS,200,1.2999999999999998,0.040000000000000036
Glauber+NNLS,200,0.6,0.03500000000000003
Glauber+NNLS,200,0.7,0.05500000000000005
Glauber+NNLS,200,0.9999999999999999,0.020000000000000018
Glauber+NNLS,200,1.4999999999999998,0.0
Glauber+NNLS,200,0.5,0.14
Glauber+NNLS,200,0.8999999999999999,0.030000000000000027
Glauber+NNLS,200,0.6,0.04500000000000004
Glauber+NNLS,200,0.5,0.04500000000000004
Glauber+NNLS,200,1.4,0.03500000000000003
Glauber+NNLS,200,1.1999999999999997,0.0050000000000000044
Glauber+NNLS,200,0.8999999999999999,0.03500000000000003
Glauber+NNLS,200,0.6,0.040000000000000036
Glauber+NNLS,200,0.5,0.06999999999999995
Glauber+NNLS,200,1.2999999999999998,0.025000000000000022
Glauber+NNLS,200,1.2999999999999998,0.010000000000000009
Glauber+NNLS,200,0.7999999999999999,0.030000000000000027
Glauber+NNLS,200,0.7,0.025000000000000022
Glauber+NNLS,200,1.4999999999999998,0.06499999999999995
Glauber+NNLS,200,1.4,0.030000000000000027
Glauber+NNLS,200,1.0999999999999999,0.020000000000000018
Glauber+NNLS,200,1.0999999999999999,0.030000000000000027
Glauber+NNLS,200,0.7999999999999999,0.04500000000000004
